repo_id,full_name,language,month,pr_opened,pr_closed,pr_merged,issues_opened,issues_closed
7905539,koral--/android-gif-drawable,Java,2013-01,0,0,0,0,0
7905539,koral--/android-gif-drawable,Java,2013-02,0,0,0,0,0
7905539,koral--/android-gif-drawable,Java,2013-03,0,0,0,0,0
7905539,koral--/android-gif-drawable,Java,2013-04,0,0,0,0,0
7905539,koral--/android-gif-drawable,Java,2013-05,0,0,0,0,0
7905539,koral--/android-gif-drawable,Java,2013-06,0,0,0,0,0
7905539,koral--/android-gif-drawable,Java,2013-07,0,0,0,0,0
7905539,koral--/android-gif-drawable,Java,2013-08,0,0,0,1,0
7905539,koral--/android-gif-drawable,Java,2013-09,0,0,0,2,2
7905539,koral--/android-gif-drawable,Java,2013-10,0,0,0,3,3
7905539,koral--/android-gif-drawable,Java,2013-11,4,4,4,7,5
7905539,koral--/android-gif-drawable,Java,2013-12,0,0,0,7,8
7905539,koral--/android-gif-drawable,Java,2014-01,0,0,0,4,3
7905539,koral--/android-gif-drawable,Java,2014-02,0,0,0,10,9
7905539,koral--/android-gif-drawable,Java,2014-03,0,0,0,9,7
7905539,koral--/android-gif-drawable,Java,2014-04,0,0,0,7,7
7905539,koral--/android-gif-drawable,Java,2014-05,2,2,1,4,3
7905539,koral--/android-gif-drawable,Java,2014-06,1,0,0,4,4
7905539,koral--/android-gif-drawable,Java,2014-07,0,1,0,9,4
7905539,koral--/android-gif-drawable,Java,2014-08,0,0,0,5,7
7905539,koral--/android-gif-drawable,Java,2014-09,0,0,0,4,5
7905539,koral--/android-gif-drawable,Java,2014-10,0,0,0,10,8
7905539,koral--/android-gif-drawable,Java,2014-11,1,1,1,5,6
7905539,koral--/android-gif-drawable,Java,2014-12,0,0,0,9,6
7905539,koral--/android-gif-drawable,Java,2015-01,1,1,1,7,7
7905539,koral--/android-gif-drawable,Java,2015-02,1,1,1,6,5
7905539,koral--/android-gif-drawable,Java,2015-03,1,1,0,17,19
7905539,koral--/android-gif-drawable,Java,2015-04,0,0,0,18,18
7905539,koral--/android-gif-drawable,Java,2015-05,0,0,0,15,15
7905539,koral--/android-gif-drawable,Java,2015-06,0,0,0,8,8
7905539,koral--/android-gif-drawable,Java,2015-07,1,1,1,9,7
7905539,koral--/android-gif-drawable,Java,2015-08,0,0,0,8,5
7905539,koral--/android-gif-drawable,Java,2015-09,0,0,0,7,8
7905539,koral--/android-gif-drawable,Java,2015-10,2,2,0,13,14
7905539,koral--/android-gif-drawable,Java,2015-11,0,0,0,6,6
7905539,koral--/android-gif-drawable,Java,2015-12,0,0,0,8,9
7905539,koral--/android-gif-drawable,Java,2016-01,1,1,1,14,11
7905539,koral--/android-gif-drawable,Java,2016-02,0,0,0,2,5
7905539,koral--/android-gif-drawable,Java,2016-03,1,1,1,8,8
7905539,koral--/android-gif-drawable,Java,2016-04,3,3,2,23,14
7905539,koral--/android-gif-drawable,Java,2016-05,0,0,0,17,20
7905539,koral--/android-gif-drawable,Java,2016-06,0,0,0,8,11
7905539,koral--/android-gif-drawable,Java,2016-07,0,0,0,7,4
7905539,koral--/android-gif-drawable,Java,2016-08,0,0,0,16,15
7905539,koral--/android-gif-drawable,Java,2016-09,0,0,0,10,7
7905539,koral--/android-gif-drawable,Java,2016-10,0,0,0,9,11
7905539,koral--/android-gif-drawable,Java,2016-11,0,0,0,7,9
7905539,koral--/android-gif-drawable,Java,2016-12,0,0,0,6,4
7905539,koral--/android-gif-drawable,Java,2017-01,1,1,1,12,13
7905539,koral--/android-gif-drawable,Java,2017-02,0,0,0,6,4
7905539,koral--/android-gif-drawable,Java,2017-03,3,3,2,6,5
7905539,koral--/android-gif-drawable,Java,2017-04,7,7,6,3,6
7905539,koral--/android-gif-drawable,Java,2017-05,2,2,1,6,6
7905539,koral--/android-gif-drawable,Java,2017-06,1,1,1,4,4
7905539,koral--/android-gif-drawable,Java,2017-07,3,3,2,6,3
7905539,koral--/android-gif-drawable,Java,2017-08,10,10,9,7,9
7905539,koral--/android-gif-drawable,Java,2017-09,3,3,2,8,6
7905539,koral--/android-gif-drawable,Java,2017-10,1,1,0,8,6
