repo_id,full_name,language,month,commits,contributors,new_contributors,returning_contributors,pr_opened,pr_closed,pr_merged,issues_opened,issues_closed,is_partial_month
7905539,koral--/android-gif-drawable,Java,2013-01,5,2,2,0,0,0,0,0,0,False
7905539,koral--/android-gif-drawable,Java,2013-02,4,2,1,1,0,0,0,0,0,False
7905539,koral--/android-gif-drawable,Java,2013-03,1,1,0,1,0,0,0,0,0,False
7905539,koral--/android-gif-drawable,Java,2013-04,0,0,0,0,0,0,0,0,0,False
7905539,koral--/android-gif-drawable,Java,2013-05,0,0,0,0,0,0,0,0,0,False
7905539,koral--/android-gif-drawable,Java,2013-06,0,0,0,0,0,0,0,0,0,False
7905539,koral--/android-gif-drawable,Java,2013-07,0,0,0,0,0,0,0,0,0,False
7905539,koral--/android-gif-drawable,Java,2013-08,0,0,0,0,0,0,0,1,0,False
7905539,koral--/android-gif-drawable,Java,2013-09,19,2,1,1,0,0,0,2,2,False
7905539,koral--/android-gif-drawable,Java,2013-10,13,2,0,2,0,0,0,3,3,False
7905539,koral--/android-gif-drawable,Java,2013-11,20,3,1,2,4,4,4,7,5,False
7905539,koral--/android-gif-drawable,Java,2013-12,18,1,0,1,0,0,0,7,8,False
7905539,koral--/android-gif-drawable,Java,2014-01,7,1,0,1,0,0,0,4,3,False
7905539,koral--/android-gif-drawable,Java,2014-02,17,1,0,1,0,0,0,10,9,False
7905539,koral--/android-gif-drawable,Java,2014-03,24,2,1,1,0,0,0,9,7,False
7905539,koral--/android-gif-drawable,Java,2014-04,9,2,0,2,0,0,0,7,7,False
7905539,koral--/android-gif-drawable,Java,2014-05,17,3,1,2,2,2,1,4,3,False
7905539,koral--/android-gif-drawable,Java,2014-06,5,1,0,1,1,0,0,4,4,False
7905539,koral--/android-gif-drawable,Java,2014-07,8,2,0,2,0,1,0,9,4,False
7905539,koral--/android-gif-drawable,Java,2014-08,7,1,0,1,0,0,0,5,7,False
7905539,koral--/android-gif-drawable,Java,2014-09,9,2,0,2,0,0,0,4,5,False
7905539,koral--/android-gif-drawable,Java,2014-10,31,1,0,1,0,0,0,10,8,False
7905539,koral--/android-gif-drawable,Java,2014-11,14,3,1,2,1,1,1,5,6,False
7905539,koral--/android-gif-drawable,Java,2014-12,24,2,0,2,0,0,0,9,6,False
7905539,koral--/android-gif-drawable,Java,2015-01,14,3,1,2,1,1,1,7,7,False
7905539,koral--/android-gif-drawable,Java,2015-02,10,3,1,2,1,1,1,6,5,False
7905539,koral--/android-gif-drawable,Java,2015-03,80,3,1,2,1,1,0,17,19,False
7905539,koral--/android-gif-drawable,Java,2015-04,52,2,0,2,0,0,0,18,18,False
7905539,koral--/android-gif-drawable,Java,2015-05,15,2,0,2,0,0,0,15,15,False
7905539,koral--/android-gif-drawable,Java,2015-06,8,1,0,1,0,0,0,8,8,False
7905539,koral--/android-gif-drawable,Java,2015-07,12,2,1,1,1,1,1,9,7,False
7905539,koral--/android-gif-drawable,Java,2015-08,8,1,0,1,0,0,0,8,5,False
7905539,koral--/android-gif-drawable,Java,2015-09,12,2,0,2,0,0,0,7,8,False
7905539,koral--/android-gif-drawable,Java,2015-10,12,1,0,1,2,2,0,13,14,False
7905539,koral--/android-gif-drawable,Java,2015-11,16,1,0,1,0,0,0,6,6,False
7905539,koral--/android-gif-drawable,Java,2015-12,17,2,0,2,0,0,0,8,9,False
7905539,koral--/android-gif-drawable,Java,2016-01,33,3,1,2,1,1,1,14,11,False
7905539,koral--/android-gif-drawable,Java,2016-02,15,1,0,1,0,0,0,2,5,False
7905539,koral--/android-gif-drawable,Java,2016-03,22,2,1,1,1,1,1,8,8,False
7905539,koral--/android-gif-drawable,Java,2016-04,25,4,2,2,3,3,2,23,14,False
7905539,koral--/android-gif-drawable,Java,2016-05,23,1,0,1,0,0,0,17,20,False
7905539,koral--/android-gif-drawable,Java,2016-06,17,2,0,2,0,0,0,8,11,False
7905539,koral--/android-gif-drawable,Java,2016-07,16,2,1,1,0,0,0,7,4,False
7905539,koral--/android-gif-drawable,Java,2016-08,22,2,0,2,0,0,0,16,15,False
7905539,koral--/android-gif-drawable,Java,2016-09,27,2,0,2,0,0,0,10,7,False
7905539,koral--/android-gif-drawable,Java,2016-10,20,1,0,1,0,0,0,9,11,False
7905539,koral--/android-gif-drawable,Java,2016-11,38,1,0,1,0,0,0,7,9,False
7905539,koral--/android-gif-drawable,Java,2016-12,4,1,0,1,0,0,0,6,4,False
7905539,koral--/android-gif-drawable,Java,2017-01,40,3,1,2,1,1,1,12,13,False
7905539,koral--/android-gif-drawable,Java,2017-02,19,1,0,1,0,0,0,6,4,False
7905539,koral--/android-gif-drawable,Java,2017-03,24,4,2,2,3,3,2,6,5,False
7905539,koral--/android-gif-drawable,Java,2017-04,17,2,0,2,7,7,6,3,6,False
7905539,koral--/android-gif-drawable,Java,2017-05,17,1,0,1,2,2,1,6,6,False
7905539,koral--/android-gif-drawable,Java,2017-06,12,1,0,1,1,1,1,4,4,False
